trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
314,False,"{'a': 0.6, 'e': 0.009140867367890108}",35,15,37.37898375166816,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.6, 'e': 0.009004777582436561}",25,3,37.800291394333684,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.6, 'e': 0.008870713909928262}",25,8,4.8229826440295644,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
317,False,"{'a': 0.6, 'e': 0.008738646185473292}",25,5,32.69724023250016,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.6, 'e': 0.008608544693276503}",25,16,17.417529294693367,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.6, 'e': 0.00848038015995327}",25,16,16.874853672635467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.6, 'e': 0.008354123747942891}",20,12,-28.396620161236626,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
321,False,"{'a': 0.6, 'e': 0.008229747049020032}",25,18,12.610488654933157,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.6, 'e': 0.008107222077902708}",25,17,13.126108670910968,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.6, 'e': 0.007986521265955504}",20,11,17.181020166988446,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.6, 'e': 0.007867617454986537}",20,5,25.630572679486924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.6, 'e': 0.007750483891136701}",25,6,27.134376011011163,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.6, 'e': 0.007635094218859963}",25,19,10.797252376299046,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.6, 'e': 0.007521422474993272}",20,8,19.231582743014087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.6, 'e': 0.0074094430829146855}",25,7,32.14652258274463,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.6, 'e': 0.007299130846788585}",20,0,34.73848972349646,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
330,False,"{'a': 0.6, 'e': 0.00719046094589645}",20,9,18.23397137750814,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.6, 'e': 0.007083408929052121}",20,12,14.198018773771597,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.6, 'e': 0.006977950709100189}",25,19,12.600650517729543,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.6, 'e': 0.006874062557496257}",35,21,23.61457383582891,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.6, 'e': 0.006771721098967923}",25,12,25.25390259168098,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.6, 'e': 0.006670903306255276}",25,14,18.524778892686165,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.6, 'e': 0.006571586494929621}",20,0,12.520372821927399,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
337,False,"{'a': 0.6, 'e': 0.006473748318289407}",20,3,30.22971834782754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
338,False,"{'a': 0.6, 'e': 0.006377366762332144}",25,13,19.67432115039234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
339,False,"{'a': 0.6, 'e': 0.006282420140801125}",25,7,31.67210824612079,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
340,False,"{'a': 0.6, 'e': 0.006188887090305939}",20,6,24.168525636920897,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.6, 'e': 0.00609674656551564}",35,25,19.72383914584051,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
342,False,"{'a': 0.6, 'e': 0.006005977834423419}",20,0,31.894676945704862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
343,False,"{'a': 0.6, 'e': 0.005916560473681859}",20,12,-25.691075396687754,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
344,False,"{'a': 0.6, 'e': 0.0058284743640075526}",30,16,21.767865503429523,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
345,False,"{'a': 0.6, 'e': 0.005741699685654204}",20,10,20.441028496459076,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
346,False,"{'a': 0.6, 'e': 0.00565621691395311}",25,0,33.8078806934697,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.6, 'e': 0.0055720068149199995}",20,9,20.077958415927164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
348,False,"{'a': 0.6, 'e': 0.00548905044092732}",25,7,29.990796773829473,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
349,False,"{'a': 0.6, 'e': 0.005407329126440961}",20,13,12.578197271892101,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
350,False,"{'a': 0.6, 'e': 0.005326824483820391}",20,8,22.530876439766743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
351,False,"{'a': 0.6, 'e': 0.0052475183991813855}",20,13,13.793498574401656,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
352,False,"{'a': 0.6, 'e': 0.005169393028320335}",20,14,13.99810227187906,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
353,False,"{'a': 0.6, 'e': 0.0050924307926991964}",20,12,6.257348133926658,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
354,False,"{'a': 0.6, 'e': 0.005016614375490265}",25,14,22.939204863383452,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
355,False,"{'a': 0.6, 'e': 0.004941926717679823}",25,11,24.92582952344117,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
356,False,"{'a': 0.6, 'e': 0.004868351014229765}",25,20,8.846745947921029,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.6, 'e': 0.004795870710296422}",20,9,20.53681425022718,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
358,False,"{'a': 0.6, 'e': 0.004724469497505628}",20,16,9.434402863426225,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
359,False,"{'a': 0.6, 'e': 0.004654131310283274}",20,3,32.75741014211828,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
360,False,"{'a': 0.6, 'e': 0.0045848403222405005}",35,20,22.87631826785819,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
361,False,"{'a': 0.6, 'e': 0.004516580942612672}",25,8,30.947873531893386,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
362,False,"{'a': 0.6, 'e': 0.004449337812751396}",20,12,17.074634226573867,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
363,False,"{'a': 0.6, 'e': 0.004383095802668777}",25,0,43.383710709797974,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
364,False,"{'a': 0.6, 'e': 0.004317840007633083}",30,0,43.24783440639798,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
365,False,"{'a': 0.6, 'e': 0.004253555744815127}",20,7,23.374472230758496,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
366,False,"{'a': 0.6, 'e': 0.004190228549984581}",30,16,26.644523860506855,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
